id,name,email,status
1,Customer-1,customer1@example.com,ACTIVE
2,Customer-2,customer2@example.com,ACTIVE
3,Customer-3,customer3@example.com,ACTIVE
4,Customer-4,customer4@example.com,INACTIVE
5,Customer-5,customer5@example.com,ACTIVE
6,Customer-6,customer6@example.com,ACTIVE
7,Customer-7,customer7@example.com,ACTIVE
8,Customer-8,customer8@example.com,INACTIVE
9,Customer-9,customer9@example.com,ACTIVE
10,Customer-10,customer10@example.com,ACTIVE
11,Customer-11,customer11@example.com,ACTIVE
12,Customer-12,customer12@example.com,INACTIVE
13,Customer-13,customer13@example.com,ACTIVE
14,Customer-14,customer14@example.com,ACTIVE
15,Customer-15,customer15@example.com,ACTIVE
16,Customer-16,customer16@example.com,INACTIVE
17,Customer-17,customer17@example.com,ACTIVE
18,Customer-18,customer18@example.com,ACTIVE
19,Customer-19,customer19@example.com,ACTIVE
20,Customer-20,customer20@example.com,INACTIVE
21,Customer-21,customer21@example.com,ACTIVE
22,Customer-22,customer22@example.com,ACTIVE
23,Customer-23,customer23@example.com,ACTIVE
24,Customer-24,customer24@example.com,INACTIVE
25,Customer-25,customer25@example.com,ACTIVE
26,Customer-26,customer26@example.com,ACTIVE
27,Customer-27,customer27@example.com,ACTIVE
28,Customer-28,customer28@example.com,INACTIVE
29,Customer-29,customer29@example.com,ACTIVE
30,Customer-30,customer30@example.com,ACTIVE
31,Customer-31,customer31@example.com,ACTIVE
32,Customer-32,customer32@example.com,INACTIVE
33,Customer-33,customer33@example.com,ACTIVE
34,Customer-34,customer34@example.com,ACTIVE
35,Customer-35,customer35@example.com,ACTIVE
36,Customer-36,customer36@example.com,INACTIVE
37,Customer-37,customer37@example.com,ACTIVE
38,Customer-38,customer38@example.com,ACTIVE
39,Customer-39,customer39@example.com,ACTIVE
40,Customer-40,customer40@example.com,INACTIVE
41,Customer-41,customer41@example.com,ACTIVE
42,Customer-42,customer42@example.com,ACTIVE
43,Customer-43,customer43@example.com,ACTIVE
44,Customer-44,customer44@example.com,INACTIVE
45,Customer-45,customer45@example.com,ACTIVE
46,Customer-46,customer46@example.com,ACTIVE
47,Customer-47,customer47@example.com,ACTIVE
48,Customer-48,customer48@example.com,INACTIVE
49,Customer-49,customer49@example.com,ACTIVE
50,Customer-50,customer50@example.com,ACTIVE
51,Customer-51,customer51@example.com,ACTIVE
52,Customer-52,customer52@example.com,INACTIVE
53,Customer-53,customer53@example.com,ACTIVE
54,Customer-54,customer54@example.com,ACTIVE
55,Customer-55,customer55@example.com,ACTIVE
56,Customer-56,customer56@example.com,INACTIVE
57,Customer-57,customer57@example.com,ACTIVE
58,Customer-58,customer58@example.com,ACTIVE
59,Customer-59,customer59@example.com,ACTIVE
